unserved_medicaid/km2,unserved_commercial/km2,Cholesterol screening among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years
0.0,196.7,86.8,78.8,71.1,82.5,11.7
0.0,20.3,87.8,78.6,72.3,82.6,11.5
0.0,58.7,88.8,78.1,75.7,82.7,10.3
0.0,24.9,88.4,78.1,74.6,82.6,10.6
122.6,0.0,,,,,
2164.0,0.0,,,,,
768.2,0.0,87.9,79.1,52.9,82.3,14.0
2382.6,0.0,84.7,71.5,51.6,80.1,11.6
3431.1,0.0,88.6,74.6,58.8,81.8,10.2
2271.7,0.0,88.8,83.5,47.7,85.1,16.2
5809.2,0.0,81.6,71.1,43.6,78.4,14.6
2536.4,0.0,83.0,73.1,54.5,76.8,12.2
1672.4,0.0,87.2,74.1,55.5,81.2,11.2
2240.8,0.0,85.9,77.9,48.1,82.9,14.6
1100.4,0.0,89.8,76.0,62.9,83.2,9.7
4718.5,0.0,88.6,76.6,58.7,83.3,10.9
1485.6,0.0,89.4,76.3,59.7,83.3,10.6
3963.2,0.0,88.1,74.8,58.7,80.7,11.0
265.3,0.0,84.1,77.9,68.0,82.1,10.5
0.0,326.6,88.8,76.8,71.9,78.1,10.0
0.0,189.1,89.7,76.1,74.4,78.0,9.2
0.0,2.6,89.4,75.0,75.1,77.6,8.8
0.0,44.2,91.3,78.5,78.1,79.5,8.6
0.0,78.8,90.5,79.3,78.2,77.3,8.8
14.0,0.0,85.8,71.9,64.1,74.3,10.6
128.1,0.0,78.9,76.7,50.8,82.0,16.9
0.0,268.0,85.0,78.0,63.3,77.7,12.8
0.0,152.4,84.5,78.8,60.1,78.1,13.8
0.0,474.2,83.3,78.1,57.4,77.1,14.8
0.0,3.4,82.7,80.7,47.7,77.6,15.2
0.0,134.5,85.8,81.6,55.9,79.0,13.3
0.0,3.1,87.5,80.2,60.9,78.4,11.8
817.6,0.0,80.6,78.2,53.7,78.5,15.8
0.0,16.6,,,,,
0.0,153.3,,,,,
123.5,0.0,,,,,
422.0,0.0,,,,,
0.0,201.3,,,,,
2363.5,504.7,,,,,
0.0,92.1,,,,,
0.0,248.6,,,,,
0.0,545.5,,,,,
0.0,437.0,,,,,
7769.3,1268.7,,,,,
7818.9,0.0,,,,,
229.3,0.0,77.1,78.0,43.5,77.7,19.2
321.8,0.0,85.6,78.3,65.7,79.0,12.0
5.4,8.6,84.1,77.5,57.0,76.5,11.9
429.5,0.0,84.3,79.3,62.2,79.4,13.2
5.0,0.0,85.9,78.1,63.5,77.7,12.1
0.0,300.7,82.9,79.1,67.2,79.4,11.1
0.0,1176.0,61.2,29.3,64.5,71.9,6.9
424.3,0.0,80.5,77.7,53.2,78.0,15.7
0.0,244.3,87.9,77.5,75.5,82.4,9.8
0.0,3421.6,88.3,78.0,69.6,77.1,9.3
993.3,0.0,75.5,73.4,47.5,80.3,16.8
0.0,115.6,84.9,73.0,63.3,74.4,9.8
0.0,38.6,,,,,
0.0,5.1,83.3,78.2,54.1,76.4,14.1
0.0,666.0,,,,,
226.8,0.0,79.8,77.5,46.3,75.8,16.1
321.1,0.0,77.0,77.7,37.8,75.6,18.9
0.0,13.1,85.4,80.8,56.7,78.0,13.9
0.0,15.0,85.7,79.4,59.5,77.6,12.7
0.0,4.7,84.2,81.9,53.1,78.5,15.6
5.9,15.1,83.0,79.4,52.5,76.9,15.0
0.0,3867.8,,,,,
6.4,17.6,86.0,79.2,61.5,79.8,13.1
0.0,186.7,86.1,77.5,63.5,77.8,12.2
2668.7,2527.7,85.4,74.0,50.5,80.1,13.5
761.7,0.0,88.4,74.9,62.0,77.6,9.9
10583.9,0.0,87.5,75.5,58.6,77.4,10.5
1548.8,2142.9,86.8,73.6,55.6,81.4,11.0
1440.1,1910.2,89.9,75.5,63.7,83.2,9.3
1831.0,0.0,85.8,71.9,57.3,76.2,10.6
2159.5,5356.6,89.6,76.5,60.5,83.4,10.3
0.0,4950.6,89.6,77.7,59.2,83.7,10.8
0.0,5772.9,90.1,76.3,63.8,83.4,9.4
0.0,4672.2,90.2,78.4,60.7,84.2,10.7
0.0,3481.3,89.2,77.4,58.4,83.1,11.2
3188.2,0.0,79.9,67.9,44.0,73.3,13.7
10401.3,0.0,81.5,68.2,47.7,73.8,12.8
5623.5,0.0,85.4,74.4,54.0,77.1,9.6
25162.2,0.0,87.0,76.0,54.7,80.3,12.7
13476.3,0.0,82.9,73.1,47.0,77.3,12.7
0.9,14.1,,,,,
5.2,7.8,,,,,
4.4,16.0,,,,,
6.0,14.3,,,,,
1.5,7.6,,,,,
4341.3,0.0,84.3,74.7,50.9,76.8,11.3
