unserved_medicaid/km2,unserved_commercial/km2,Cholesterol screening among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years
1151.0,0.0,84.8,74.5,59.4,75.9,9.9
0.0,4154.9,88.2,77.0,69.8,76.7,9.0
0.0,4852.7,87.7,78.4,67.4,77.2,10.0
0.0,751.5,59.2,22.2,58.3,63.5,7.0
5.3,20.7,87.7,75.2,67.7,72.3,10.0
0.0,556.4,64.8,30.0,61.7,63.8,5.7
0.0,31.8,82.5,72.7,65.8,70.6,9.7
0.0,1901.7,89.9,80.6,70.5,78.9,9.5
1507.5,0.0,86.1,77.3,63.4,76.1,10.1
571.9,0.0,87.0,78.5,65.6,76.9,9.3
0.0,3377.2,87.3,77.7,66.5,76.6,10.2
1781.3,0.0,87.8,79.3,65.8,77.5,9.2
1130.5,0.0,83.9,74.0,59.0,75.2,10.3
2939.3,0.0,90.4,73.8,72.9,74.3,8.3
34015.7,0.0,83.6,72.9,53.4,71.5,13.6
14436.2,0.0,84.6,73.3,58.4,73.0,11.6
3.4,7.6,84.7,77.2,60.9,77.8,12.1
3.9,12.7,83.1,74.0,58.8,76.9,11.5
6.7,14.8,85.0,77.2,60.7,77.8,12.2
0.0,13.6,87.3,77.4,66.3,77.3,10.8
5679.1,0.0,,,,,
217.6,0.0,,,,,
2552.8,0.0,,,,,
661.9,0.0,,,,,
435.7,0.0,,,,,
0.0,620.2,,,,,
0.0,153.8,,,,,
0.0,317.9,,,,,
1217.9,0.0,,,,,
3033.9,0.0,,,,,
1390.5,505.2,,,,,
75.9,3500.0,87.9,78.9,67.4,77.4,9.8
52.3,0.0,90.8,77.3,76.4,77.5,8.6
0.0,8.6,79.0,75.2,66.2,79.2,10.4
0.8,7.7,85.9,80.3,66.2,81.3,12.3
1.1,5.5,79.9,75.8,56.9,79.1,13.3
2741.2,0.0,82.1,80.6,40.9,72.7,13.8
13516.2,0.0,87.2,67.5,66.2,73.9,7.8
0.0,15.2,90.0,79.9,72.1,80.6,9.7
248.6,0.0,83.0,78.0,54.1,76.5,12.7
634.3,0.0,79.5,77.3,47.6,75.9,14.3
12010.8,0.0,85.5,72.7,62.4,72.1,10.6
13892.1,0.0,86.5,74.3,61.2,73.2,11.2
6723.9,0.0,81.5,70.4,51.3,76.3,14.4
5265.8,0.0,83.2,72.4,52.5,76.7,14.9
0.0,129.8,91.6,78.1,77.1,76.6,8.6
2126.5,0.0,76.8,76.8,41.0,78.5,17.1
96.4,400.0,84.1,79.4,54.9,79.1,14.3
5.9,21.8,89.4,79.3,68.8,80.3,10.3
3.1,11.9,86.4,77.5,62.2,78.7,11.8
4.4,18.7,87.9,77.3,67.0,78.9,10.4
3.2,9.5,85.4,77.4,59.2,78.3,12.8
0.0,496.0,89.9,77.9,78.7,83.2,8.7
22.8,270.4,88.9,77.1,69.8,79.4,9.5
674.4,0.0,75.8,77.5,37.7,78.1,20.3
4740.2,0.0,84.3,70.3,52.8,73.4,11.3
5512.2,0.0,83.6,71.9,48.5,73.3,12.5
3093.7,0.0,85.3,69.8,57.3,73.4,10.2
12000.7,0.0,83.8,70.8,51.1,73.3,11.7
10612.7,0.0,84.2,71.4,52.6,73.5,11.3
10606.0,0.0,84.9,70.6,55.4,73.2,10.4
11263.0,0.0,82.3,70.9,48.3,72.5,11.2
4994.6,0.0,85.1,73.1,51.2,76.1,11.8
10894.7,0.0,83.2,73.9,44.3,77.6,13.8
4594.6,0.0,84.0,73.0,49.2,75.8,11.5
7114.9,0.0,82.7,74.1,42.1,75.5,14.3
6069.8,0.0,82.0,72.0,46.4,72.9,11.4
19413.1,0.0,81.5,76.5,39.7,77.5,17.0
754.5,0.0,91.5,81.4,66.1,81.8,12.1
2527.5,0.0,84.8,72.2,49.3,78.4,11.8
19411.1,0.0,79.9,76.4,34.7,78.2,18.7
1306.3,0.0,83.0,76.6,44.3,76.8,15.3
7096.6,0.0,80.0,74.1,48.2,73.4,14.1
7473.4,0.0,88.7,78.8,66.4,76.9,10.0
2331.2,0.0,86.3,76.8,62.6,75.3,10.8
5342.4,0.0,89.5,74.7,61.9,79.5,9.2
4947.2,0.0,80.3,71.1,41.3,76.8,14.6
4723.2,0.0,85.4,75.4,48.7,78.0,13.1
8664.3,0.0,84.9,70.5,54.8,75.6,10.3
3289.2,0.0,89.6,77.8,60.3,83.4,10.8
1689.3,0.0,87.7,76.0,56.3,81.7,11.5
193.2,0.0,,,,,
5089.4,0.0,,,,,
502.3,0.0,89.7,75.8,62.5,82.3,9.9
548.1,0.0,88.8,74.8,67.1,77.8,9.7
5219.1,0.0,91.5,78.3,70.0,80.2,9.9
266.7,0.0,89.0,75.0,68.5,78.0,9.7
2903.0,0.0,88.0,77.0,62.7,78.6,11.7
176.8,0.0,91.5,79.9,63.3,85.1,10.3
910.0,4890.1,91.2,79.0,64.3,84.6,9.8
591.5,231.6,83.7,72.1,48.7,78.2,13.2
3239.7,0.0,84.1,77.5,46.0,76.8,11.7
340.9,0.0,85.6,71.9,57.0,76.6,11.2
648.9,3082.3,89.2,76.7,66.4,78.6,10.9
11.8,12.2,82.8,75.4,58.3,76.3,13.0
1939.7,0.0,87.7,74.2,59.7,78.5,10.3
2073.8,0.0,87.9,75.3,60.5,78.8,9.6
1438.1,0.0,88.9,74.5,60.7,82.2,10.0
1058.1,0.0,90.6,76.6,71.5,79.1,9.4
0.0,8.2,,,,,
0.7,10.1,,,,,
2025.6,0.0,88.3,75.8,56.0,82.6,11.7
0.0,22.7,86.8,75.9,67.6,76.4,10.0
122.6,496.1,84.8,75.6,63.4,76.2,10.8
3196.9,0.0,88.0,71.6,65.2,76.5,9.7
0.0,15.4,84.6,76.7,63.3,77.3,12.1
1436.2,0.0,85.8,72.1,60.3,76.3,10.9
1558.9,0.0,90.2,77.7,69.3,79.4,10.2
365.7,0.0,90.2,76.5,70.5,78.9,9.5
1196.0,4391.4,90.0,76.5,61.5,83.2,10.2
599.6,3984.6,90.6,78.6,61.8,84.3,10.2
1490.1,0.0,88.7,75.8,63.7,77.9,8.9
3009.7,6712.6,89.8,76.2,61.0,83.2,10.1
2.2,11.1,87.8,77.5,66.2,77.2,12.0
7308.7,0.0,,,,,
3.8,9.7,86.6,77.7,62.6,76.9,12.7
1431.9,0.0,,,,,
891.6,0.0,,,,,
3729.0,0.0,,,,,
10565.3,0.0,,,,,
4661.6,1565.6,,,,,
4644.9,6551.5,,,,,
5287.2,2578.4,,,,,
3173.0,0.0,,,,,
658.1,4903.1,,,,,
0.0,1138.6,,,,,
536.0,6581.0,,,,,
7882.4,7495.7,,,,,
8102.5,0.0,,,,,
3846.8,5185.7,,,,,
720.3,0.0,87.8,75.0,62.4,77.7,9.5
997.9,4584.0,88.6,75.6,58.8,83.0,10.6
436.2,0.0,89.5,77.3,66.2,78.8,8.9
478.0,0.0,90.3,77.3,68.1,78.7,8.2
639.6,0.0,88.4,77.2,59.7,78.7,9.5
351.9,0.0,89.4,79.6,64.1,79.6,9.8
111.9,0.0,91.4,77.5,72.3,79.6,7.6
1092.5,0.0,81.3,66.4,74.7,78.7,7.4
0.0,38.6,88.5,78.1,74.1,82.6,10.8
5328.3,717.7,,,,,
6314.2,0.0,,,,,
0.0,154.1,,,,,
0.0,848.4,,,,,
1253.8,2555.7,,,,,
9339.1,546.8,,,,,
4117.4,775.1,,,,,
3536.4,2664.0,,,,,
1224.6,1036.9,,,,,
1671.8,1575.5,,,,,
0.0,12.5,,,,,
1276.7,0.0,90.9,76.5,72.4,79.5,8.3
648.1,0.0,89.0,73.3,67.4,77.6,8.7
1817.0,0.0,90.6,77.9,69.1,80.1,8.4
2217.8,6985.8,87.9,76.4,57.5,82.1,10.8
1915.8,4023.9,89.1,77.2,59.5,82.2,10.8
0.0,432.2,87.8,73.6,62.8,77.2,8.9
15411.0,0.0,78.6,62.4,45.5,71.7,12.1
0.0,652.4,88.6,78.8,57.9,80.9,11.5
1642.2,5944.4,88.5,73.8,62.7,78.9,9.3
1695.9,0.0,,,,,
14619.3,0.0,,,,,
0.0,11.6,,,,,
923.9,0.0,,,,,
19099.2,0.0,,,,,
671.7,0.0,,,,,
6635.3,0.0,,,,,
8749.7,0.0,,,,,
8039.0,0.0,,,,,
2246.9,0.0,,,,,
2072.1,0.0,,,,,
1572.7,5498.3,,,,,
972.4,0.0,,,,,
11055.3,0.0,,,,,
26816.3,0.0,,,,,
357.5,0.0,82.7,75.1,64.0,81.7,12.1
890.6,0.0,86.8,75.7,58.3,77.2,9.8
749.5,0.0,87.8,77.5,62.8,78.4,9.3
0.0,3601.0,91.0,78.9,68.1,80.4,8.9
0.0,4234.2,87.1,73.4,59.3,78.2,10.3
1003.2,0.0,90.2,77.8,69.3,79.4,10.2
2371.5,6611.9,87.8,73.8,58.4,80.9,10.2
616.9,0.0,89.9,79.7,64.8,79.8,9.6
475.6,0.0,89.2,78.5,63.0,79.0,9.0
2006.9,0.0,85.7,80.7,56.1,87.2,14.7
324.8,0.0,86.2,75.2,73.7,81.3,9.8
635.2,0.0,83.2,74.7,64.5,81.8,11.8
0.0,4728.5,87.7,80.8,62.5,80.5,11.8
720.9,0.0,90.6,79.3,67.4,80.0,10.2
1.2,0.0,87.6,78.4,71.1,82.4,11.9
255.0,729.8,86.7,75.5,73.0,81.2,10.4
1630.8,0.0,84.9,70.4,54.3,78.4,11.5
5.0,17.2,,,,,
0.0,137.0,,,,,
1.9,10.9,,,,,
2.5,15.9,,,,,
2.1,36.5,,,,,
2.6,13.1,,,,,
890.5,0.0,86.7,76.1,56.5,77.1,10.0
3052.2,0.0,82.2,75.3,42.6,75.6,12.6
1912.9,0.0,88.4,76.4,61.8,77.7,9.2
543.0,0.0,87.7,75.0,62.8,77.4,9.1
276.0,0.0,87.0,76.7,74.8,81.8,9.8
76.1,0.0,,,,,
1304.2,0.0,,,,,
158.4,0.0,82.7,73.8,68.1,80.1,11.1
567.0,0.0,82.3,75.6,62.4,80.5,13.5
73.9,0.0,79.2,79.4,48.9,81.9,19.1
0.0,1199.8,62.4,26.8,64.1,71.7,6.2
0.0,75.7,86.3,77.5,67.8,79.4,10.2
0.0,4.8,84.2,76.1,60.3,78.0,12.2
0.0,38.0,87.7,77.6,68.1,76.5,11.4
5.1,16.3,88.2,77.7,68.8,76.9,11.3
0.0,8.4,84.4,71.7,61.1,74.2,10.9
3.8,0.0,88.5,77.8,69.8,76.7,11.0
5.4,44.7,89.3,76.8,74.7,77.0,9.0
63.2,176.9,84.1,78.0,55.1,76.2,15.1
17.2,0.0,87.3,77.4,66.9,76.3,11.8
1.7,13.4,,,,,
0.0,22.2,,,,,
0.0,1593.9,,,,,
0.0,138.3,,,,,
0.0,20882.3,,,,,
0.0,3335.5,,,,,
0.0,708.9,90.4,78.9,73.2,78.2,9.8
0.0,67.5,89.2,75.6,72.8,76.5,9.4
0.0,701.0,89.0,76.2,72.4,76.5,9.5
0.0,327.1,92.0,78.1,78.4,78.5,8.0
0.0,48.2,91.2,77.6,78.2,78.1,8.0
157.6,0.0,88.5,78.2,69.7,77.3,9.2
2492.8,0.0,85.7,75.4,52.3,77.3,12.7
0.0,6135.0,,,,,
5158.0,0.0,86.5,70.9,64.0,72.2,10.3
450.7,0.0,83.6,80.9,59.5,82.8,16.1
1673.9,0.0,77.3,74.6,52.8,80.7,15.4
1159.3,0.0,79.2,75.2,53.0,81.3,16.0
2.0,76.2,85.2,73.9,63.6,74.6,11.6
323.4,0.0,87.4,74.9,71.1,75.9,8.3
1271.9,0.0,87.8,79.0,65.8,77.6,10.3
0.0,3001.5,89.1,78.9,70.9,77.9,9.1
0.0,2434.5,89.8,80.7,71.6,79.0,9.3
0.0,249.9,90.0,76.3,74.3,77.2,8.8
1014.0,0.0,86.8,75.7,65.2,76.0,9.6
2574.8,0.0,81.9,73.8,48.9,77.7,12.6
343.5,0.0,79.3,75.0,41.7,77.1,15.3
0.0,103.5,85.5,74.5,62.8,73.5,11.2
0.0,490.8,91.4,83.2,71.2,79.6,11.2
0.0,74.0,92.9,78.3,81.0,77.4,7.5
2267.7,0.0,85.8,74.0,63.9,73.9,10.4
1191.1,0.0,89.4,80.4,69.0,77.4,10.6
3545.7,0.0,80.4,76.1,47.4,73.3,15.1
3.7,33.9,87.9,76.2,68.4,76.9,10.5
0.0,23.3,88.5,75.8,69.2,76.9,10.1
0.0,3.5,86.5,79.7,59.2,78.1,14.1
219.7,0.0,82.4,74.8,55.1,76.2,13.5
0.0,53.3,89.8,76.7,72.6,77.8,9.5
0.0,35.3,89.6,76.6,72.2,77.7,9.4
4.7,0.0,89.6,77.5,73.4,78.2,8.9
0.0,2100.6,87.5,75.8,69.7,75.9,8.7
0.0,3581.2,85.9,72.7,64.2,74.6,8.9
0.0,355.5,88.4,77.6,70.9,77.0,8.7
12.7,0.0,90.8,77.0,66.5,79.3,9.4
1075.7,0.0,90.4,74.8,67.5,79.9,8.2
573.9,0.0,88.5,73.9,59.7,78.3,10.2
2736.0,0.0,88.5,75.9,59.7,79.0,10.5
272.0,0.0,89.3,74.1,65.8,78.2,8.8
584.5,0.0,90.1,77.4,70.8,76.7,9.2
189.9,3311.6,90.8,76.9,73.6,76.6,8.5
998.6,0.0,89.0,73.4,62.1,79.8,9.0
4595.8,0.0,89.4,76.7,61.5,80.7,9.7
205.2,428.2,85.1,78.0,67.7,82.0,12.6
1109.3,0.0,89.2,72.3,67.2,77.8,7.3
6572.1,0.0,79.2,71.1,45.3,71.3,12.6
14290.4,0.0,77.0,69.6,44.4,70.8,14.4
9613.7,0.0,85.3,71.9,58.2,76.8,9.7
13328.7,0.0,76.4,75.7,44.5,73.0,16.5
23048.0,0.0,78.5,57.2,55.3,69.4,8.8
20824.0,0.0,75.2,76.2,43.2,73.1,16.2
16424.1,0.0,79.3,76.3,48.2,73.3,15.2
6581.7,0.0,82.1,73.4,53.1,72.7,12.1
856.1,0.0,85.0,75.0,55.8,73.4,11.0
3317.6,0.0,84.6,75.5,54.9,73.3,10.6
7182.5,0.0,86.2,76.3,57.7,74.3,10.3
1946.4,0.0,85.2,76.1,55.0,73.6,10.4
57.3,459.2,86.9,78.1,65.1,77.6,11.5
3.7,24.7,87.5,75.8,67.0,76.6,10.7
0.0,3919.8,92.4,83.0,70.6,80.8,10.7
1542.0,0.0,90.6,76.5,66.5,81.0,8.4
5098.9,0.0,89.0,74.4,62.8,78.8,8.9
1420.8,0.0,88.2,77.8,67.4,76.6,9.9
6503.8,0.0,86.2,77.4,59.6,76.3,11.0
3935.7,0.0,88.7,75.3,58.6,79.8,10.4
1384.1,0.0,88.0,76.1,57.5,79.5,10.8
2180.3,0.0,89.7,74.7,62.3,80.5,9.3
1926.3,0.0,88.6,73.6,61.5,79.5,9.3
2933.5,0.0,89.6,74.7,63.7,80.3,8.9
4649.7,0.0,88.9,74.7,59.7,79.6,10.1
2754.1,0.0,87.7,77.9,51.1,80.5,13.3
1468.2,0.0,89.0,75.9,59.2,80.7,10.2
1508.1,0.0,90.7,75.2,65.8,80.9,8.6
4339.1,0.0,89.7,75.6,61.5,81.0,9.7
4143.8,0.0,88.8,75.6,60.1,80.0,9.8
5433.5,0.0,89.4,74.2,62.3,79.6,9.2
1300.1,0.0,89.5,75.7,61.2,80.4,9.6
1858.6,0.0,90.2,76.1,63.1,80.7,9.1
1725.7,0.0,90.8,75.3,66.4,81.0,8.4
18.7,0.0,90.5,83.7,69.5,80.7,10.3
6714.9,0.0,86.7,76.0,57.6,74.2,10.0
3578.6,0.0,83.4,73.3,52.7,72.2,11.2
4334.0,0.0,84.0,76.6,50.4,73.8,12.8
11161.8,0.0,85.4,75.1,57.0,73.4,10.7
2479.1,0.0,86.0,76.0,56.8,74.1,10.6
1802.1,4310.3,85.6,74.6,58.8,73.7,10.1
8181.5,0.0,86.9,79.3,57.3,76.7,11.9
3985.4,3416.1,84.4,76.5,52.5,73.9,11.8
3593.8,0.0,87.0,77.7,60.9,75.8,10.8
1770.8,0.0,89.9,75.7,62.5,80.7,9.1
4175.2,0.0,86.0,74.9,59.2,73.8,9.8
2593.1,0.0,87.9,73.3,58.0,79.4,9.9
8155.3,0.0,87.4,76.4,54.5,80.2,11.3
3148.4,0.0,86.0,72.0,54.9,77.5,10.4
6256.5,0.0,87.4,76.4,55.0,80.2,11.1
4331.7,0.0,86.8,74.5,53.7,79.7,11.3
613.6,0.0,83.1,72.8,52.8,72.7,11.7
3560.2,0.0,87.3,76.2,61.7,75.2,10.1
744.0,0.0,86.2,78.0,45.3,80.6,15.0
2583.9,0.0,84.9,77.6,53.6,74.9,12.2
7568.3,0.0,84.2,73.4,48.3,77.8,12.8
1221.6,0.0,87.1,73.2,57.1,78.1,10.2
1566.4,0.0,84.2,67.4,58.5,72.8,9.3
3554.1,0.0,90.5,78.3,62.3,81.4,9.9
4278.0,0.0,89.3,76.7,59.4,81.2,10.3
5487.7,0.0,86.8,73.3,53.9,79.2,11.1
1748.1,0.0,88.6,74.5,63.1,79.1,8.7
1395.4,0.0,89.1,73.6,64.9,79.1,8.1
5192.5,0.0,86.0,78.2,50.8,77.3,12.2
8418.8,744.3,84.8,77.9,47.5,78.7,15.2
0.0,77.5,88.0,77.5,74.3,82.3,10.5
16311.6,5422.7,85.3,82.9,42.3,81.0,19.2
4460.8,0.0,85.9,73.5,55.0,77.6,10.8
2669.1,0.0,87.0,71.9,60.8,76.6,9.2
8123.5,3804.7,87.1,75.9,61.2,74.8,9.6
6223.4,0.0,84.4,73.2,53.1,74.7,11.7
900.3,0.0,85.9,73.7,55.3,76.4,11.2
3153.8,0.0,86.5,73.8,57.3,76.7,10.5
4171.9,0.0,86.8,75.8,59.2,74.2,10.4
2627.7,0.0,85.9,76.5,55.2,74.0,10.8
2175.8,3544.9,83.4,74.7,56.1,73.8,12.3
9041.6,0.0,86.0,71.4,56.4,75.3,10.5
2385.6,0.0,85.7,79.4,56.2,76.3,13.4
4463.7,0.0,84.1,70.9,53.3,73.6,11.8
3314.5,0.0,83.7,68.0,58.1,71.7,9.6
4694.8,0.0,82.4,60.1,61.7,70.0,7.7
8040.8,4093.9,86.0,75.9,57.2,74.3,10.6
1627.2,2677.6,89.7,78.0,66.2,76.6,9.6
5042.7,0.0,84.8,78.3,51.9,75.1,13.0
0.9,10.7,87.1,81.0,62.0,79.3,13.3
0.0,14.9,86.8,78.5,65.4,78.1,11.6
5.3,25.7,88.0,79.3,67.5,78.8,11.1
3.9,0.0,87.0,79.1,63.9,78.2,12.2
870.6,0.0,87.0,75.1,65.8,74.5,9.8
4080.5,5058.5,88.2,80.1,64.3,77.6,11.6
146.7,0.0,80.5,75.1,41.1,72.1,13.3
7037.6,0.0,83.1,71.6,48.9,73.4,12.7
7651.9,0.0,83.5,75.4,46.8,75.4,14.6
3848.1,0.0,91.4,78.7,64.8,82.1,9.6
9240.7,0.0,91.5,86.8,60.8,82.9,14.9
500.2,0.0,91.2,79.3,63.9,81.8,9.8
0.0,3304.8,91.2,80.7,69.9,78.8,10.1
256.7,7621.3,91.2,78.6,68.8,79.1,9.4
4268.0,0.0,84.2,76.9,50.6,73.9,11.4
1881.5,0.0,85.4,74.1,57.5,73.3,10.1
9251.2,0.0,85.8,77.2,57.0,75.0,11.4
1538.1,0.0,85.0,74.7,61.1,73.9,10.6
7482.4,0.0,84.0,74.8,58.8,73.8,11.5
3097.1,0.0,84.0,74.5,53.5,73.3,11.5
3172.0,0.0,88.3,76.0,71.8,75.5,8.3
4867.3,0.0,85.0,75.6,61.9,74.5,10.7
3559.2,0.0,86.5,76.2,59.8,75.3,10.5
4084.9,0.0,89.8,76.2,63.5,80.6,9.5
6420.9,0.0,89.4,75.7,60.5,80.7,9.9
984.3,0.0,85.1,74.0,63.8,73.7,9.8
0.0,7332.2,89.8,75.8,70.5,75.9,8.8
2225.7,4438.4,85.9,75.9,57.1,74.0,10.3
3938.8,0.0,85.3,75.7,47.1,79.6,13.2
4535.0,0.0,81.6,72.2,52.6,72.5,12.6
6649.6,0.0,82.8,75.2,58.1,73.7,12.0
4009.4,0.0,84.4,73.7,59.9,73.7,11.2
8560.1,0.0,81.4,71.4,54.8,72.3,12.0
11190.0,0.0,81.5,77.4,51.9,74.6,14.5
8085.0,0.0,82.4,77.2,54.3,74.4,13.6
8068.8,0.0,79.8,69.3,51.6,70.5,11.9
11151.9,0.0,81.4,72.8,49.6,72.3,13.2
8271.8,0.0,88.0,76.4,54.8,80.5,11.4
5981.7,0.0,88.1,75.0,56.3,80.1,10.8
1793.2,0.0,90.0,77.9,59.7,81.6,10.5
5400.9,4492.6,90.2,74.2,66.2,79.8,8.0
11711.6,0.0,83.6,72.9,55.9,73.4,11.6
1380.9,1025.5,88.4,77.2,67.0,76.0,9.3
6835.4,0.0,84.0,68.6,53.5,73.6,10.9
4848.7,6890.3,85.0,72.6,61.6,73.1,10.2
5039.3,1772.1,86.7,75.6,55.9,77.7,11.4
6343.1,0.0,88.0,78.2,64.6,76.9,10.7
0.0,7640.2,86.3,75.2,58.3,73.9,10.6
5248.3,0.0,87.5,76.6,61.0,74.8,10.0
5502.0,0.0,89.0,77.5,58.7,80.8,10.4
11062.0,0.0,87.3,76.3,53.3,80.2,11.8
6238.7,0.0,88.3,77.1,64.0,76.4,9.6
8846.7,0.0,85.3,74.6,57.2,74.3,10.6
2914.5,0.0,87.1,74.1,64.1,75.0,9.2
1276.0,0.0,84.6,71.9,58.4,72.5,9.2
4526.6,0.0,88.8,73.4,67.5,74.4,7.5
2849.7,2480.9,88.2,77.8,62.1,75.6,9.9
7439.8,0.0,87.3,76.4,62.3,75.1,10.0
5594.5,0.0,88.0,75.7,60.3,78.6,10.1
9493.8,0.0,87.7,76.6,55.9,80.5,11.1
8710.3,0.0,86.7,72.3,57.0,75.5,10.6
0.0,10447.3,89.5,73.1,69.8,75.7,8.1
7224.7,2236.0,88.8,86.5,45.8,83.5,19.6
15468.9,0.0,80.9,76.2,36.1,78.9,18.0
6576.7,0.0,84.7,70.0,53.3,73.2,11.3
1420.3,0.0,90.4,78.0,69.7,77.0,9.2
13990.6,6522.6,85.9,75.2,58.3,73.9,10.7
2594.1,4589.0,85.0,77.7,48.2,79.0,14.7
1928.7,0.0,87.4,74.6,57.1,78.5,10.6
713.6,0.0,79.1,67.9,44.9,70.4,13.2
3713.0,0.0,86.0,76.2,58.5,75.0,10.6
3779.3,0.0,89.1,82.4,54.1,82.0,14.1
1012.5,0.0,,,,,
197.7,0.0,,,,,
0.0,34.4,89.8,78.8,72.6,79.0,9.4
1.9,20.0,88.7,75.9,71.9,77.2,9.0
0.0,177.4,91.3,77.7,78.5,76.2,7.7
0.0,141.1,92.2,76.2,81.5,76.2,6.9
4415.2,0.0,86.9,77.0,60.0,79.8,11.1
4931.5,0.0,82.5,75.5,46.3,75.9,15.3
1498.8,0.0,87.7,79.6,58.8,80.7,12.1
1053.4,0.0,88.3,78.0,63.9,79.7,10.2
2.1,8.8,85.1,79.1,65.5,80.5,12.0
14.5,0.0,81.6,79.0,57.9,80.1,14.2
45.9,212.4,87.6,77.2,68.7,77.8,11.0
2249.8,0.0,81.1,74.3,48.7,75.5,14.3
579.2,0.0,89.0,78.3,65.6,79.4,10.2
13057.2,0.0,87.2,75.1,55.5,78.7,11.1
5.7,11.8,85.9,77.8,60.7,78.6,12.5
384.1,0.0,85.0,77.2,65.8,79.4,10.5
11250.8,0.0,85.5,73.0,55.0,77.7,10.7
22278.7,0.0,86.7,72.7,57.5,76.6,10.1
103.5,0.0,90.4,79.3,69.3,79.4,9.7
2381.5,3684.7,87.0,73.2,68.2,74.7,8.5
1010.2,0.0,87.3,75.8,60.9,74.5,10.0
11855.1,0.0,84.9,75.3,54.4,73.6,11.4
3063.6,0.0,87.3,77.7,62.4,76.1,9.8
1303.6,0.0,87.7,70.3,67.3,76.5,7.0
6097.1,0.0,84.8,70.7,56.3,75.9,10.1
8780.1,0.0,86.1,76.9,48.8,78.8,13.5
1058.6,0.0,86.9,77.5,57.1,74.8,9.4
0.0,4277.3,89.1,76.3,66.1,75.7,10.0
4280.2,0.0,84.7,74.6,48.2,79.0,13.2
7454.6,0.0,88.1,75.5,57.0,80.2,10.5
6289.7,0.0,88.0,71.6,65.8,75.6,8.0
298.1,0.0,89.8,76.0,64.1,80.3,8.7
14233.7,0.0,82.2,78.2,38.0,80.6,18.2
4969.3,0.0,86.9,73.5,60.2,77.4,9.3
7524.0,0.0,83.6,74.9,57.7,75.6,11.0
10746.5,0.0,86.3,73.6,55.4,76.5,10.7
5917.3,0.0,88.3,72.8,65.5,75.3,8.3
10284.1,0.0,82.8,67.2,56.9,71.2,10.1
6420.6,0.0,70.6,68.1,39.7,69.4,16.0
10742.0,1875.9,82.7,74.3,51.7,73.4,12.5
20326.1,0.0,73.3,73.0,41.6,71.5,16.3
14868.9,4717.9,83.8,77.7,51.7,75.2,13.1
23073.9,0.0,72.0,71.2,39.6,70.7,17.1
465.8,4436.6,89.4,74.9,64.3,78.6,9.4
20348.8,0.0,81.0,76.1,39.4,76.7,17.5
4913.5,0.0,87.1,82.8,51.6,78.4,15.0
3463.6,5230.0,88.3,77.2,64.1,76.2,10.1
10794.0,0.0,84.0,74.9,44.5,78.5,14.0
3103.9,0.0,80.3,73.7,48.6,72.6,13.7
6807.0,12665.9,86.2,74.0,60.5,73.1,8.8
16884.4,0.0,70.6,58.6,38.6,67.4,14.9
6840.0,2037.0,85.6,77.6,57.5,75.5,12.4
4575.5,10229.0,89.5,75.2,61.1,80.5,9.8
11241.2,0.0,84.5,75.7,52.1,73.4,11.7
3615.7,6349.1,88.9,78.4,67.3,76.8,10.0
19061.2,0.0,78.2,73.8,45.1,72.1,15.0
1247.4,0.0,83.5,74.6,42.3,79.0,15.1
22166.2,0.0,81.9,76.8,40.2,76.9,17.5
31615.3,0.0,78.0,76.0,38.5,73.9,19.0
0.0,7247.0,88.0,72.5,67.8,74.0,8.1
316.9,0.0,83.3,77.3,61.0,78.8,12.3
21615.9,0.0,76.9,74.2,36.3,77.6,21.7
5669.7,0.0,80.3,69.8,47.6,74.7,15.8
45610.7,0.0,78.8,68.6,46.0,73.7,16.3
16363.0,0.0,78.8,68.0,46.4,73.8,15.6
24632.1,0.0,81.7,69.7,52.7,74.5,14.2
22615.6,0.0,82.4,70.3,54.1,75.1,13.8
13132.3,0.0,83.5,71.9,52.3,77.3,14.4
19230.8,0.0,78.2,68.7,46.8,73.7,15.8
38056.7,0.0,80.5,69.5,50.2,74.2,14.8
8148.5,0.0,81.9,71.5,52.6,75.3,14.1
22076.0,0.0,80.0,71.0,46.9,75.4,16.1
8412.9,0.0,78.2,64.3,49.4,70.2,12.2
5563.2,0.0,78.1,78.5,37.1,74.3,21.4
4915.6,0.0,85.4,77.0,59.5,75.0,11.7
5832.9,0.0,83.4,55.0,65.9,68.9,6.6
1040.0,1273.5,88.4,76.0,67.6,75.5,9.2
6226.8,2034.2,86.5,75.5,62.7,74.7,10.3
0.0,7844.8,89.2,76.8,70.0,76.0,8.8
0.0,4988.5,89.7,76.9,69.0,76.3,9.2
8127.2,0.0,85.1,74.4,51.8,77.5,11.8
8074.1,0.0,85.5,75.3,56.6,73.9,10.9
3924.1,0.0,90.1,78.2,61.3,81.6,10.1
11993.7,0.0,84.4,78.3,41.8,80.3,16.9
9578.7,0.0,84.5,73.3,49.2,78.8,12.5
9986.5,0.0,85.5,78.0,46.6,80.1,14.4
9081.1,0.0,88.6,76.2,58.9,80.5,10.1
3888.6,2415.4,83.5,75.3,56.5,73.7,12.3
7184.8,6427.2,84.6,74.8,55.1,73.6,11.0
5824.2,8432.0,85.2,76.5,57.8,75.1,12.1
